,p_gyroscope_time,p_gyroscope_x,p_gyroscope_y,p_gyroscope_z
0,2023-04-08 15:14:18.940,0.10838541,0.06856588,0.02220761
1,2023-04-08 15:14:18.952,0.068437986,0.025422677,0.07174241
2,2023-04-08 15:14:18.973,-0.007728422,-0.04488478,0.1276688
3,2023-04-08 15:14:18.991,-0.10839591,-0.07684272,0.1393867
4,2023-04-08 15:14:19.012,-0.16911599,-0.06246164,0.10210244
5,2023-04-08 15:14:19.035,-0.18189916,-0.077375345,0.059491865
6,2023-04-08 15:14:19.055,-0.17177914,-0.16472703,0.0435129
7,2023-04-08 15:14:19.077,-0.15260439,-0.2653945,0.028599197
8,2023-04-08 15:14:19.094,-0.12757067,-0.28190613,0.011022332
9,2023-04-08 15:14:19.118,-0.07750324,-0.24728502,-0.0017608412
10,2023-04-08 15:14:19.133,0.001858958,-0.24355659,-0.031055612
11,2023-04-08 15:14:19.152,0.0604485,-0.2717861,-0.074731454
12,2023-04-08 15:14:19.169,0.0817538,-0.3048093,-0.08325357
13,2023-04-08 15:14:19.194,0.093471706,-0.33250618,-0.048099846
14,2023-04-08 15:14:19.209,0.10252645,-0.3463546,-0.017207175
15,2023-04-08 15:14:19.231,0.091341175,-0.3048093,0.0030328487
16,2023-04-08 15:14:19.254,0.04233901,-0.23982817,0.038186576
17,2023-04-08 15:14:19.270,-0.022642124,-0.22811025,0.05789397
18,2023-04-08 15:14:19.292,-0.06738323,-0.16685756,0.040849738
19,2023-04-08 15:14:19.310,-0.015185273,0.064837456,0.018479183
20,2023-04-08 15:14:19.331,0.075362206,0.324762,0.0009023199
21,2023-04-08 15:14:19.349,0.07110115,0.36417678,-0.026261922
22,2023-04-08 15:14:19.370,-0.010391583,0.2240945,-0.052360903
23,2023-04-08 15:14:19.388,-0.044480048,0.093599595,-0.048099846
24,2023-04-08 15:14:19.411,-0.0034673642,0.044064805,-0.035316672
25,2023-04-08 15:14:19.429,0.03594742,0.025955308,-0.025729291
26,2023-04-08 15:14:19.446,0.050861124,0.005182651,-0.01614191
27,2023-04-08 15:14:19.468,0.049263224,0.00731318,-0.001228209
28,2023-04-08 15:14:19.485,0.032751627,-0.0049373615,0.016881287
29,2023-04-08 15:14:19.511,0.023164246,0.00731318,0.027533932
30,2023-04-08 15:14:19.524,0.040208478,0.0621743,0.027533932
31,2023-04-08 15:14:19.548,0.093471706,0.17669024,0.027001299
32,2023-04-08 15:14:19.568,0.120103315,0.27256402,0.016348656
33,2023-04-08 15:14:19.588,0.10412435,0.31570724,-0.0049566347
34,2023-04-08 15:14:19.608,0.0769601,0.34606728,-0.016674543
35,2023-04-08 15:14:19.624,0.0604485,0.34713253,-0.014011382
36,2023-04-08 15:14:19.646,0.025294777,0.2821514,-0.0017608412
37,2023-04-08 15:14:19.664,-0.034360033,0.17562497,0.011554965
38,2023-04-08 15:14:19.684,-0.07270955,0.11437225,0.025936035
39,2023-04-08 15:14:19.711,-0.04714321,0.12928596,0.033392888
40,2023-04-08 15:14:19.726,0.015174764,0.17722286,0.028599197
41,2023-04-08 15:14:19.748,0.04606743,0.16071126,0.008891803
42,2023-04-08 15:14:19.766,0.010913706,0.03341216,-0.0044240025
43,2023-04-08 15:14:19.784,-0.018381067,-0.070451126,0.028066564
44,2023-04-08 15:14:19.800,0.009848441,-0.047015306,0.047773957
45,2023-04-08 15:14:19.822,0.03861058,0.016367929,0.052035015
46,2023-04-08 15:14:19.840,0.026360039,0.019563721,0.04404553
47,2023-04-08 15:14:19.864,-0.005065261,0.003052122,0.035523415
48,2023-04-08 15:14:19.885,-0.03329477,0.010508973,0.031262357
49,2023-04-08 15:14:19.904,-0.039686356,0.015835296,0.027001299
50,2023-04-08 15:14:19.922,-0.03063161,0.030216366,0.02220761
51,2023-04-08 15:14:19.937,-0.022109494,0.06643535,0.024870772
52,2023-04-08 15:14:19.961,-0.022109494,0.069631144,0.038186576
53,2023-04-08 15:14:19.979,-0.021576859,0.019031089,0.05096975
54,2023-04-08 15:14:20.001,-0.019446332,-0.042754248,0.054165542
55,2023-04-08 15:14:20.021,-0.015185273,-0.066722706,0.04404553
56,2023-04-08 15:14:20.041,-0.027435813,-0.049678467,0.028066564
57,2023-04-08 15:14:20.058,-0.053002164,-0.024644753,0.016348656
58,2023-04-08 15:14:20.080,-0.060991645,-0.010263684,0.0062286416
59,2023-04-08 15:14:20.099,-0.054067425,0.00092159316,0.0009023199
60,2023-04-08 15:14:20.114,-0.036490563,0.0035847542,0.0046307454
61,2023-04-08 15:14:20.139,-0.0061305254,-0.008665787,0.009957068
62,2023-04-08 15:14:20.157,0.020501085,-0.016122637,0.012087597
63,2023-04-08 15:14:20.181,0.03541479,-0.021981591,0.013685494
64,2023-04-08 15:14:20.194,0.024229512,-0.012926845,0.010489699
65,2023-04-08 15:14:20.213,-0.01198948,0.0035847542,0.008891803
66,2023-04-08 15:14:20.230,-0.04820847,0.019563721,0.0083591705
67,2023-04-08 15:14:20.251,-0.060991645,0.0137047665,0.008891803
68,2023-04-08 15:14:20.274,-0.056730587,-0.0033394648,0.0051633776
69,2023-04-08 15:14:20.290,-0.046610575,-0.01665527,-0.003358738
70,2023-04-08 15:14:20.315,-0.036490563,-0.025710016,-0.008152428
71,2023-04-08 15:14:20.334,-0.013587377,-0.030503707,-0.012946119
72,2023-04-08 15:14:20.357,0.006120016,-0.03103634,-0.012413486
73,2023-04-08 15:14:20.378,0.009848441,-0.04062372,-0.0070871636
74,2023-04-08 15:14:20.397,0.001858958,-0.05979848,-0.007619796
75,2023-04-08 15:14:20.417,-0.0024020998,-0.066722706,-0.01347875
76,2023-04-08 15:14:20.430,-0.009858951,-0.04808057,-0.007619796
77,2023-04-08 15:14:20.456,-0.026370551,-0.034232132,0.0051633776
78,2023-04-08 15:14:20.473,-0.039686356,-0.02357949,0.009424436
79,2023-04-08 15:14:20.495,-0.04021899,0.006780547,0.0051633776
80,2023-04-08 15:14:20.516,-0.024772655,0.032879528,-0.0049566347
81,2023-04-08 15:14:20.533,-0.0061305254,0.04992376,-0.01347875
82,2023-04-08 15:14:20.558,0.003989487,0.056315344,-0.018272439
83,2023-04-08 15:14:20.572,0.005587383,0.048858494,-0.023598762
84,2023-04-08 15:14:20.594,0.01197897,0.029151103,-0.029457716
85,2023-04-08 15:14:20.609,0.0066526486,0.012639502,-0.023598762
86,2023-04-08 15:14:20.632,0.008250545,0.02169425,-0.012413486
87,2023-04-08 15:14:20.649,0.012511603,0.049391128,-0.007619796
88,2023-04-08 15:14:20.669,0.0050547514,0.054717448,-0.006021899
89,2023-04-08 15:14:20.687,-0.01198948,0.024890045,-0.0049566347
90,2023-04-08 15:14:20.707,-0.032229505,-0.034764767,-0.005489267
91,2023-04-08 15:14:20.724,-0.04288215,-0.09761537,-0.011348221
92,2023-04-08 15:14:20.746,-0.025305286,-0.12691014,-0.016674543
93,2023-04-08 15:14:20.767,0.040208478,-0.123181716,-0.007619796
94,2023-04-08 15:14:20.784,0.14673492,-0.1178554,0.0046307454
95,2023-04-08 15:14:20.806,0.21970554,-0.09655011,-0.0017608412
96,2023-04-08 15:14:20.835,0.21331395,-0.049145836,0.014750757
97,2023-04-08 15:14:20.852,0.17709497,0.018498458,0.09837402
98,2023-04-08 15:14:20.868,0.12170121,0.018498458,0.25443527
99,2023-04-08 15:14:20.887,0.06684009,-0.08270167,0.40836596
100,2023-04-08 15:14:20.912,-0.06472007,-0.093354315,0.52820826
